A031n_PN5b_00002-3	reltype=vague	['集まれ', 'アジサシ']	['集まる', '鯵刺し']	集まれ コ アジサシ	集まる [JSP] 小 鯵刺し	['1', '4']
A031n_PN5b_00002-6	reltype=after	['上げ', '乗る']	['上げる', '乗る']	都 の 下水 処理 施設 「 森ケ崎 水 再生 センター 」 の 上空 で 歌う よう な 声 を 上げ ながら 、 白い 海鳥 が 長い 翼 を 広げ て 風 に 乗る 。	都 の 下水 処理 施設 「 モリガサキ 水 再生 センター 」 の 上空 で 歌う 様 だ 声 を 上げる ながら 、 白い 海鳥 が 長い 翼 を 広げる て 風 に 乗る 。	['20', '33']
A031n_PN5b_00002-6	reltype=after	['広げ', '乗る']	['広げる', '乗る']	都 の 下水 処理 施設 「 森ケ崎 水 再生 センター 」 の 上空 で 歌う よう な 声 を 上げ ながら 、 白い 海鳥 が 長い 翼 を 広げ て 風 に 乗る 。	都 の 下水 処理 施設 「 モリガサキ 水 再生 センター 」 の 上空 で 歌う 様 だ 声 を 上げる ながら 、 白い 海鳥 が 長い 翼 を 広げる て 風 に 乗る 。	['29', '33']
A031n_PN5b_00002-6	reltype=after	['乗る']	['乗る']	都 の 下水 処理 施設 「 森ケ崎 水 再生 センター 」 の 上空 で 歌う よう な 声 を 上げ ながら 、 白い 海鳥 が 長い 翼 を 広げ て 風 に 乗る 。	都 の 下水 処理 施設 「 モリガサキ 水 再生 センター 」 の 上空 で 歌う 様 だ 声 を 上げる ながら 、 白い 海鳥 が 長い 翼 を 広げる て 風 に 乗る 。	['33']
A031n_PN5b_00002-8	reltype=after	['指さし', '弾ま']	['指差す', '弾む']	女性 が 真上 を 指さし て 声 を 弾ま せ た 。	女性 が 真上 を 指差す て 声 を 弾む せる た 。	['5', '9']
A031n_PN5b_00002-8	reltype=after	['弾ま']	['弾む']	女性 が 真上 を 指さし て 声 を 弾ま せ た 。	女性 が 真上 を 指差す て 声 を 弾む せる た 。	['9']
A031n_PN5b_00002-10	reltype=after	['設置', 'し']	['設置', '為る']	この 施設 の 屋上 に 、 保護 団体 「 リトル ターン ・ プロジェクト 」 の メンバー １ ２ 人 が 、 体長 約 ３ ０ センチ の コ アジサシ そっくり の 模型 （ デコイ ） ２ ０ ０ 体 を 設置 し た 。	此の 施設 の 屋上 に 、 保護 団体 「 リトル ターン ・ プロジェクト 」 の メンバー 一 二 人 が 、 体長 約 三 零 センチ の 小 鯵刺し そっくり の 模型 （ デコイ ） 二 零 零 体 を 設置 為る た 。	['41', '42']
A031n_PN5b_00002-11	reltype=after	['汗', 'ばみ', '掘っ', '終わる', '流す']	['汗', 'ばむ', '掘る', '終わる', '流す']	青空 の 下 で 汗 ばみ ながら 、 砂利 を 掘っ て 設置 し 終わる と 、 スピーカー で 鳴き声 を 流す 。	青空 の 下 で 汗 ばむ ながら 、 砂利 を 掘る て 設置 為る 終わる と 、 スピーカー で 鳴き声 を 流す 。	['5', '6', '11', '15', '22']
A031n_PN5b_00002-11	reltype=after	['掘っ', '終わる', '流す']	['掘る', '終わる', '流す']	青空 の 下 で 汗 ばみ ながら 、 砂利 を 掘っ て 設置 し 終わる と 、 スピーカー で 鳴き声 を 流す 。	青空 の 下 で 汗 ばむ ながら 、 砂利 を 掘る て 設置 為る 終わる と 、 スピーカー で 鳴き声 を 流す 。	['11', '15', '22']
A031n_PN5b_00002-11	reltype=after	['設置', '終わる', '流す']	['設置', '終わる', '流す']	青空 の 下 で 汗 ばみ ながら 、 砂利 を 掘っ て 設置 し 終わる と 、 スピーカー で 鳴き声 を 流す 。	青空 の 下 で 汗 ばむ ながら 、 砂利 を 掘る て 設置 為る 終わる と 、 スピーカー で 鳴き声 を 流す 。	['13', '15', '22']
A031n_PN5b_00002-11	reltype=after	['流す']	['流す']	青空 の 下 で 汗 ばみ ながら 、 砂利 を 掘っ て 設置 し 終わる と 、 スピーカー で 鳴き声 を 流す 。	青空 の 下 で 汗 ばむ ながら 、 砂利 を 掘る て 設置 為る 終わる と 、 スピーカー で 鳴き声 を 流す 。	['22']
