A050n_PN2b_00004-2	reltype=vague	['認める']	['認める']	アルアクサ 犯行 認める	アル・アクサ 犯行 認める	['3']	A050n_PN2b_00004-3	reltype=vague	['合意', 'でき']	['合意', '出来る']	イスラエル 停戦 協議 合意 でき ず	イスラエル [JSP] 停戦 協議 合意 出来る ず	['5', '6']
A050n_PN2b_00004-5	reltype=before	['閉幕', 'し']	['閉幕', '為る']	イスラエル と パレスチナ 自治 政府 の 停戦 に 向け た 最高 治安 当局 者 協議 が ２ ２ 日 、 米国 の ジニ 特使 の 仲介 で 開か れ た が 、 停戦 条件 を めぐる 両者 の 対立 は 解け ず 、 再び 合意 に 達し ない まま 閉幕 し た 。	[JSP] イスラエル と パレスチナ 自治 政府 の 停戦 に 向ける た 最高 治安 当局 者 協議 が 二 二 日 、 米国 の ジニ 特使 の 仲介 で 開く れる た が 、 停戦 条件 を 巡る 両者 の 対立 は 解ける ず 、 再び 合意 に 達する ない 侭 閉幕 為る た 。	['51', '52']	A050n_PN2b_00004-6	reltype=before	['続行', '見込み']	['続行', '見込み']	イスラエル 当局 者 に よる と 協議 は 今後 も 続行 さ れる 見込み だ 。	イスラエル 当局 者 に 因る と 協議 は 今後 も 続行 為る れる 見込み だ 。	['11', '14']
A050n_PN2b_00004-6	reltype=after	['続行', '見込み']	['続行', '見込み']	イスラエル 当局 者 に よる と 協議 は 今後 も 続行 さ れる 見込み だ 。	イスラエル 当局 者 に 因る と 協議 は 今後 も 続行 為る れる 見込み だ 。	['11', '14']	A050n_PN2b_00004-7	reltype=after	['認め']	['認める']	一方 、 協議 開催 と 前後 し て 同日 、 ヨルダン 川 西岸 の パレスチナ 自治 区 ジェニン 北方 の イスラエル 軍 検問 所 で 起き た 自爆 テロ に つい て 、 アラファト ・ パレスチナ 自治 政府 議長 の 支持 基盤 で ある パレスチナ 解放 機構 （ ＰＬＯ ） 主流 派 ファタハ の 軍事 部門 「 アルアクサ 殉教 者 団 」 が 犯行 を 認め た 。	[JSP] 一方 、 協議 開催 と 前後 為る て 同日 、 ヨルダン 川 西岸 の パレスチナ 自治 区 ジェニン 北方 の イスラエル 軍 検問 所 で 起きる た 自爆 テロ に つく て 、 アラファト ・ パレスチナ 自治 政府 議長 の 支持 基盤 だ 有る パレスチナ 解放 機構 （ ＰＬＯ ） 主流 派 ファタハ の 軍事 部門 「 アル・アクサ 殉教 者 団 」 が 犯行 を 認める た 。	['67']
A050n_PN2b_00004-8	reltype=after	['いう']	['言う']	イスラエル 軍 に よる と 、 犯人 は 車 で イスラエル 領 内 に 入ろう と し て 検問 所 で 止め られ 、 その 場 で 自爆 テロ を 決行 し た と いう 。	[JSP] イスラエル 軍 に 因る と 、 犯人 は 車 で イスラエル 領 内 に 入る と 為る て 検問 所 で 止める られる 、 其の 場 で 自爆 テロ を 決行 為る た と 言う 。	['36']	A050n_PN2b_00004-9	reltype=after	['出し']	['出す']	アルアクサ 殉教 者 団 は ２ １ 日 の エルサレム 繁華 街 で の 自爆 テロ 後 、 米 国務 省 から 「 外国 テロ 組織 」 に 指定 さ れ 、 この 事件 に つい て ２ ２ 日 に 新た な 犯行 声明 文 を 出し た 。	[JSP] アル・アクサ 殉教 者 団 は 二 一 日 の エルサレム 繁華 街 で の 自爆 テロ 後 、 米 国務 省 から 「 外国 テロ 組織 」 に 指定 為る れる 、 此の 事件 に つく て 二 二 日 に 新た だ 犯行 声明 文 を 出す た 。	['49']
A050n_PN2b_00004-9	reltype=overlap	['出し']	['出す']	アルアクサ 殉教 者 団 は ２ １ 日 の エルサレム 繁華 街 で の 自爆 テロ 後 、 米 国務 省 から 「 外国 テロ 組織 」 に 指定 さ れ 、 この 事件 に つい て ２ ２ 日 に 新た な 犯行 声明 文 を 出し た 。	[JSP] アル・アクサ 殉教 者 団 は 二 一 日 の エルサレム 繁華 街 で の 自爆 テロ 後 、 米 国務 省 から 「 外国 テロ 組織 」 に 指定 為る れる 、 此の 事件 に つく て 二 二 日 に 新た だ 犯行 声明 文 を 出す た 。	['49']	A050n_PN2b_00004-10	reltype=overlap	['宣言', '内容']	['宣言', '内容']	米国 の イスラエル 寄り の 姿勢 を 強く 批判 し 、 イスラエル に 対し 自爆 テロ に よる 徹底 抗戦 を 宣言 する 内容 だ 。	米国 の イスラエル 寄り の 姿勢 を 強い 批判 為る 、 イスラエル に 対する 自爆 テロ に 因る 徹底 抗戦 を 宣言 為る 内容 だ 。	['22', '24']
A050n_PN2b_00004-10	reltype=before	['宣言', '内容']	['宣言', '内容']	米国 の イスラエル 寄り の 姿勢 を 強く 批判 し 、 イスラエル に 対し 自爆 テロ に よる 徹底 抗戦 を 宣言 する 内容 だ 。	米国 の イスラエル 寄り の 姿勢 を 強い 批判 為る 、 イスラエル に 対する 自爆 テロ に 因る 徹底 抗戦 を 宣言 為る 内容 だ 。	['22', '24']	A050n_PN2b_00004-11	reltype=before	['追い込ま']	['追い込む']	アラファト 議長 は エルサレム の 事件 を 受け て 「 ただちに イスラエル 市民 を 狙っ た 自爆 テロ の 停止 措置 を とる 」 と 公約 し た ばかり で 、 身内 と も 言える 組織 の テロ 続行 声明 に よっ て 一段 と 苦しい 立場 に 追い込ま れ た 。	[JSP] アラファト 議長 は エルサレム の 事件 を 受ける て 「 直ちに イスラエル 市民 を 狙う た 自爆 テロ の 停止 措置 を 取る 」 と 公約 為る た ばかり だ 、 身内 と も 言う 組織 の テロ 続行 声明 に 因る て 一段 と 苦しい 立場 に 追い込む れる た 。	['50']
A050n_PN2b_00004-18	reltype=after	['し']	['為る']	ペルー の 首都 リマ で ２ ０ 日 夜 に 発生 し た 爆弾 事件 で 、 トレド 大統領 は ２ ２ 日 、 犯人 逮捕 に つながる 情報 提供 者 に １ ０ ０ 万 ドル の 懸賞 金 を 用意 する 一方 、 数 日 中 に 法 改正 を 含む テロ 対策 を 議会 に 提案 する 方針 を 明らか に し た 。	[JSP] ペルー の 首都 リマ で 二 零 日 夜 に 発生 為る た 爆弾 事件 で 、 トレド 大統領 は 二 二 日 、 犯人 逮捕 に 繋がる 情報 提供 者 に 一 零 零 万 ドル の 懸賞 金 を 用意 為る 一方 、 数 日 中 に 法 改正 を 含む テロ 対策 を 議会 に 提案 為る 方針 を 明らか だ 為る た 。	['13']	A050n_PN2b_00004-19	reltype=after	['帰国', 'し']	['帰国', '為る']	大統領 は ２ １ 日 深夜 、 メキシコ ・ モンテレイ で 開か れ て い た 国連 開発 資金 会議 へ の 参加 を 切り上げ て 急きょ 帰国 し た 。	[JSP] 大統領 は 二 一 日 深夜 、 メキシコ ・ モンテレー で 開く れる て 居る た 国連 開発 資金 会議 へ の 参加 を 切り上げる て 急遽 帰国 為る た 。	['29', '30']
A050n_PN2b_00004-19	reltype=before	['帰国', 'し']	['帰国', '為る']	大統領 は ２ １ 日 深夜 、 メキシコ ・ モンテレイ で 開か れ て い た 国連 開発 資金 会議 へ の 参加 を 切り上げ て 急きょ 帰国 し た 。	[JSP] 大統領 は 二 一 日 深夜 、 メキシコ ・ モンテレー で 開く れる て 居る た 国連 開発 資金 会議 へ の 参加 を 切り上げる て 急遽 帰国 為る た 。	['29', '30']	A050n_PN2b_00004-20	reltype=before	['訪問', 'する']	['訪問', '為る']	ブッシュ 米 大統領 は ２ ３ 日 午後 、 現職 の 米 大統領 と し て 初めて ペルー を 訪問 する 。	[JSP] ブッシュ 米 大統領 は 二 三 日 午後 、 現職 の 米 大統領 と 為る て 初めて ペルー を 訪問 為る 。	['21', '22']
A050n_PN2b_00004-26	reltype=after	['閉幕', 'し']	['閉幕', '為る']	メキシコ の モンテレイ で 開か れ て い た 国連 の 開発 資金 国際 会議 は ２ ２ 日 、 先進 国 が 開発 途上 国 へ 出す 政府 開発 援助 （ ＯＤＡ ） を 、 国民 総 生産 （ ＧＮＰ ） の ０ ・ ７ ％ に 引き上げる よう 促す 合意 文書 （ モンテレイ ・ コンセンサス ） を 採択 し 、 閉幕 し た 。	[JSP] メキシコ の モンテレー で 開く れる て 居る た 国連 の 開発 資金 国際 会議 は 二 二 日 、 先進 国 が 開発 途上 国 へ 出す 政府 開発 援助 （ ＯＤＡ ） を 、 国民 総 生産 （ ＧＮＰ ） の 零 ・ 七 パーセント に 引き上げる 様 促す 合意 文書 （ モンテレー ・ コンセンサス ） を 採択 為る 、 閉幕 為る た 。	['62', '64']	A050n_PN2b_00004-27	reltype=after	['約束', 'し']	['約束', '為る']	アナン 事務 総長 は 先進 国 から の 援助 額 を 倍増 さ せる 必要 が ある と 訴え 、 ブッシュ 米 大統領 も 「 ３ 年間 で 援助 額 を ５ ０ ％ 増やす 」 と 約束 し た 。	[JSP] アナン 事務 総長 は 先進 国 から の 援助 額 を 倍増 為る せる 必要 が 有る と 訴える 、 ブッシュ 米 大統領 も 「 三 年間 で 援助 額 を 五 零 パーセント 増やす 」 と 約束 為る た 。	['39', '40']
A050n_PN2b_00004-31	reltype=overlap	['明記', 'し']	['明記', '為る']	しかし 義務 で は なく 「 努力 目標 」 に とどめ 、 達成 期限 も 明記 し なかっ た 。	然し 義務 だ は 無い 「 努力 目標 」 に 留める 、 達成 期限 も 明記 為る ない た 。	['16', '17']	A050n_PN2b_00004-32	reltype=overlap	['促し']	['促す']	合意 文書 は 同時 に 、 各国 が 自国 の 経済 発展 に 責任 を 持ち 、 あらゆる レベル で 汚職 と 戦い 、 人材 育成 を 進める よう 促し た 。	[JSP] 合意 文書 は 同時 に 、 各国 が 自国 の 経済 発展 に 責任 を 持つ 、 あらゆる レベル で 汚職 と 戦う 、 人材 育成 を 進める 様 促す た 。	['31']
A050n_PN2b_00004-32	reltype=overlap	['促し']	['促す']	合意 文書 は 同時 に 、 各国 が 自国 の 経済 発展 に 責任 を 持ち 、 あらゆる レベル で 汚職 と 戦い 、 人材 育成 を 進める よう 促し た 。	[JSP] 合意 文書 は 同時 に 、 各国 が 自国 の 経済 発展 に 責任 を 持つ 、 あらゆる レベル で 汚職 と 戦う 、 人材 育成 を 進める 様 促す た 。	['31']	A050n_PN2b_00004-33	reltype=overlap	['なっ']	['成る']	途上 国 の 中 で ＯＤＡ を 食い物 に する 政治 家 、 官僚 が 目立ち 、 援助 依存 体質 から 抜け出せ ない 国 も ある ため で 、 途上 国 の 自助 努力 を 促す 形 に も なっ て いる 。	[JSP] 途上 国 の 中 で ＯＤＡ を 食い物 に 為る 政治 家 、 官僚 が 目立つ 、 援助 依存 体質 から 抜け出す ない 国 も 有る 為 だ 、 途上 国 の 自助 努力 を 促す 形 に も 成る て 居る 。	['41']
