A038n_PN2f_00003-7	reltype=after	'疑う'	[JSP]だれもが目を疑うような衝撃的な光景だった。	['7']
A038n_PN2f_00003-8	reltype=after	'開か'	五輪オーバルで開かれたスピードスケート男子五百メートルの一回目。	['4']
A038n_PN2f_00003-9	reltype=after	'切っ'	清水宏保選手の最大のライバルであるウォザースプーン選手が最終組でスタートを切って、わずか５歩目だった。	['18']
A038n_PN2f_00003-10	reltype=after	'削っ'	左足つま先が氷を削った。	['6']
A038n_PN2f_00003-11	reltype=after	'つまずき'	つまずき、一九〇センチの体が崩れ落ちた。	['1']
A038n_PN2f_00003-11	reltype=after	'崩れ落ち'	つまずき、一九〇センチの体が崩れ落ちた。	['10']
A038n_PN2f_00003-12	reltype=after	'敗れ'	[JSP]長野五輪で清水選手に敗れ、銀メダルに甘んじてから四年。	['8']
A038n_PN2f_00003-12	reltype=after	'甘んじ'	[JSP]長野五輪で清水選手に敗れ、銀メダルに甘んじてから四年。	['13']
A038n_PN2f_00003-13	reltype=after	'加え'	[JSP]さらに安定感と強さを加えて、迎えた勝負のとき。	['9']
A038n_PN2f_00003-13	reltype=after	'迎え'	[JSP]さらに安定感と強さを加えて、迎えた勝負のとき。	['12']
A038n_PN2f_00003-14	reltype=after	'終わっ'	それが、一瞬にして戦いは終わった。	['10']
A038n_PN2f_00003-15	reltype=after	'立ち上がり'	[JSP]立ち上がり、ぼう然とした表情でゆっくり滑り始めたウォザースプーン選手の顔は、みるみる険しく変化した。	['2']
A038n_PN2f_00003-15	reltype=after	'滑り'	[JSP]立ち上がり、ぼう然とした表情でゆっくり滑り始めたウォザースプーン選手の顔は、みるみる険しく変化した。	['11']
A038n_PN2f_00003-15	reltype=after	'変化'	[JSP]立ち上がり、ぼう然とした表情でゆっくり滑り始めたウォザースプーン選手の顔は、みるみる険しく変化した。	['22']
A038n_PN2f_00003-16	reltype=after	'置か'	氷上に置かれたコースを仕切るポイントを悔しそうにけり上げた。	['3']
A038n_PN2f_00003-16	reltype=after	'仕切る'	氷上に置かれたコースを仕切るポイントを悔しそうにけり上げた。	['8']
A038n_PN2f_00003-16	reltype=after	'けり上げ'	氷上に置かれたコースを仕切るポイントを悔しそうにけり上げた。	['14']
A038n_PN2f_00003-17	reltype=after	'滑っ'	[JSP]先に滑った清水選手は思うようなタイムが出なかった。	['4']
A038n_PN2f_00003-17	reltype=after	'思う'	[JSP]先に滑った清水選手は思うようなタイムが出なかった。	['9']
A038n_PN2f_00003-17	reltype=after	'出'	[JSP]先に滑った清水選手は思うようなタイムが出なかった。	['14']
A038n_PN2f_00003-18	reltype=after	'出し'	フィッツランドルフ選手（米国）がトップタイムを出したものの、実力通りなら、この大柄なカナダ人が首位に躍り出るに違いないとだれもが考えていた。	['10']
A038n_PN2f_00003-18	reltype=after	'躍り出る'	フィッツランドルフ選手（米国）がトップタイムを出したものの、実力通りなら、この大柄なカナダ人が首位に躍り出るに違いないとだれもが考えていた。	['27']
