A037n_PN2d_00003-5	reltype=after	'続伸'	[JSP]東京株式市場の株価が四日、大幅に続伸した。	['13']
A037n_PN2d_00003-6	reltype=after	'打ち出し'	政府が打ち出した株の空売り規制強化を下支えに、これまでの停滞感を一気に吹き飛ばした格好だ。	['3']
A037n_PN2d_00003-6	reltype=after	'吹き飛ばし'	政府が打ち出した株の空売り規制強化を下支えに、これまでの停滞感を一気に吹き飛ばした格好だ。	['22']
A037n_PN2d_00003-7	reltype=after	'薄れ'	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['18']
A037n_PN2d_00003-7	reltype=after	'つく'	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['24']
A037n_PN2d_00003-7	reltype=before	'進ま'	市場では「これで『金融の三月危機』が起こる懸念も薄れた」とホッと一息つく一方、「不良債権の抜本的な処理が進まない限り、本格的な株高にはつながらない」と、政府の次なる対策を催促する声もある。	['36']
A037n_PN2d_00003-8	reltype=after	'交錯'	期待と不安が交錯した一日を追った。	['5']
A037n_PN2d_00003-8	reltype=after	'追っ'	期待と不安が交錯した一日を追った。	['11']
A037n_PN2d_00003-12	reltype=after	'動い'	平均株価を示すボードが動いた。	['7']
A037n_PN2d_00003-13	reltype=after	'比べ'	前週末終値に比べ、二七七円九〇銭高。	['5']
A037n_PN2d_00003-14	reltype=after	'比べ'	東証一部全体の値動きを示す東証株価指数（ＴＯＰＩＸ）は前週末終値に比べ二四・九四ポイント高を示した。	['20']
A037n_PN2d_00003-14	reltype=after	'示し'	東証一部全体の値動きを示す東証株価指数（ＴＯＰＩＸ）は前週末終値に比べ二四・九四ポイント高を示した。	['29']
A037n_PN2d_00003-15	reltype=after	'ふれる'	[JSP]取引開始前、市場は強気と弱気のどちらにふれるか、気迷い気分もあった。	['14']
A037n_PN2d_00003-15	reltype=after	'あっ'	[JSP]取引開始前、市場は強気と弱気のどちらにふれるか、気迷い気分もあった。	['20']
A037n_PN2d_00003-17	reltype=after	'加わっ'	ただ、週末、佐藤工業の経営破綻という材料が加わった。	['14']
A037n_PN2d_00003-18	reltype=after	'下落'	「青木建設破綻直後、株価は下落した。	['9']
A037n_PN2d_00003-20	reltype=after	'出る'	[JSP]結果が「強気（買い）」と出ると、市場は銀行株などを中心に一斉に上昇を開始する。	['11']
A037n_PN2d_00003-20	reltype=after	'開始'	[JSP]結果が「強気（買い）」と出ると、市場は銀行株などを中心に一斉に上昇を開始する。	['26']
A037n_PN2d_00003-21	reltype=after	'つながっ'	[JSP]佐藤工業破綻は、青木建設のときのような「次はどこだ」という標的探しではなく「不良債権処理の進展」への期待感につながったのだ。	['39']
A037n_PN2d_00003-22	reltype=after	'受け'	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['5']
A037n_PN2d_00003-22	reltype=after	'続伸'	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['16']
A037n_PN2d_00003-22	reltype=after	'かける'	[JSP]空売り規制を受け、株式市場は前週の後半、三日続伸していたことが買いに拍車をかける。	['27']
A037n_PN2d_00003-23	reltype=after	'静観'	「静観していた生命保険などの機関投資家も、今後株高が続いたときに差益を出せない『持たざるリスク』を感じ始めた」（大手証券）。	['2']
A037n_PN2d_00003-23	reltype=after	'感じ'	「静観していた生命保険などの機関投資家も、今後株高が続いたときに差益を出せない『持たざるリスク』を感じ始めた」（大手証券）。	['33']
A037n_PN2d_00003-26	reltype=after	'行き'	[JSP]株価は高値水準で行きつ戻りつの場面もあったが、結局取引終了の午後三時まで上げ続けた。	['7']
