A052n_PN2e_00004-3	reltype=after	'なくし'	ブッシュ政権[JSP]歯止めなくし右傾化に拍車	['5']
A052n_PN2e_00004-5	reltype=after	'入っ'	[JSP]米ブッシュ政権内で、保守派と穏健派の主導権争いが新局面に入った。	['21']
A052n_PN2e_00004-7	reltype=after	'去っ'	政権内の「バランサー」だった同氏が去ったことで、筋金入りの保守派であるローブ政治顧問が絶大な影響力を握り「保守政権が一層右傾化する」との見方がもっぱらだ。	['11']
A052n_PN2e_00004-7	reltype=before	'握り'	政権内の「バランサー」だった同氏が去ったことで、筋金入りの保守派であるローブ政治顧問が絶大な影響力を握り「保守政権が一層右傾化する」との見方がもっぱらだ。	['32']
A052n_PN2e_00004-7	reltype=before	'右傾'	政権内の「バランサー」だった同氏が去ったことで、筋金入りの保守派であるローブ政治顧問が絶大な影響力を握り「保守政権が一層右傾化する」との見方がもっぱらだ。	['38']
A052n_PN2e_00004-8	reltype=after	'表明'	[JSP]ヒューズ氏は、先に子供の教育問題を理由に辞意を表明し、八日に正式辞任した。	['17']
A052n_PN2e_00004-8	reltype=after	'正式'	[JSP]ヒューズ氏は、先に子供の教育問題を理由に辞意を表明し、八日に正式辞任した。	['23']
A052n_PN2e_00004-9	reltype=after	'獲得'	テキサス州知事時代にブッシュ氏の厚い信頼を獲得し、ホワイトハウスでは大統領のすべての主要演説作成に関与し、政権のイメージ戦略を担った。	['12']
A052n_PN2e_00004-9	reltype=after	'関与'	テキサス州知事時代にブッシュ氏の厚い信頼を獲得し、ホワイトハウスでは大統領のすべての主要演説作成に関与し、政権のイメージ戦略を担った。	['27']
A052n_PN2e_00004-9	reltype=after	'担っ'	テキサス州知事時代にブッシュ氏の厚い信頼を獲得し、ホワイトハウスでは大統領のすべての主要演説作成に関与し、政権のイメージ戦略を担った。	['35']
A052n_PN2e_00004-10	reltype=after	'持っ'	「史上最も大統領に影響力を持った女性」と呼ばれ、文字通りの「右腕」だった。	['9']
A052n_PN2e_00004-10	reltype=after	'呼ば'	「史上最も大統領に影響力を持った女性」と呼ばれ、文字通りの「右腕」だった。	['14']
A052n_PN2e_00004-11	reltype=after	'拮抗'	[JSP]ヒューズ氏と拮抗（きっこう）するただ一人の存在がローブ氏だ。	['5']
A052n_PN2e_00004-12	reltype=after	'雇わ'	一九七七年にブッシュ元大統領の選挙参謀に雇われ、ブッシュ家との付き合いが始まった。	['14']
A052n_PN2e_00004-12	reltype=after	'始まっ'	一九七七年にブッシュ元大統領の選挙参謀に雇われ、ブッシュ家との付き合いが始まった。	['23']
A052n_PN2e_00004-13	reltype=after	'出馬'	現大統領が州知事選に出馬した時に再び雇われ、再選、二〇〇〇年の大統領選と三連勝したことで揺るぎない信頼を得た。	['8']
A052n_PN2e_00004-13	reltype=after	'雇わ'	現大統領が州知事選に出馬した時に再び雇われ、再選、二〇〇〇年の大統領選と三連勝したことで揺るぎない信頼を得た。	['14']
A052n_PN2e_00004-13	reltype=after	'三'	現大統領が州知事選に出馬した時に再び雇われ、再選、二〇〇〇年の大統領選と三連勝したことで揺るぎない信頼を得た。	['28']
A052n_PN2e_00004-13	reltype=after	'得'	現大統領が州知事選に出馬した時に再び雇われ、再選、二〇〇〇年の大統領選と三連勝したことで揺るぎない信頼を得た。	['37']
A052n_PN2e_00004-15	reltype=after	'主張'	[JSP]これに対し、ヒューズ氏は穏健主義を主張し、大統領の過度な右傾化を防ぐ構図だった。	['12']
A052n_PN2e_00004-15	reltype=after	'防ぐ'	[JSP]これに対し、ヒューズ氏は穏健主義を主張し、大統領の過度な右傾化を防ぐ構図だった。	['22']
A052n_PN2e_00004-16	reltype=after	'決まる'	[JSP]このため、辞任が決まると、カード首席補佐官は米誌で「ローブ氏に対抗できる側近が必要だ」と述べ、勢力均衡の崩壊に懸念を示した。	['7']
A052n_PN2e_00004-16	reltype=after	'述べ'	[JSP]このため、辞任が決まると、カード首席補佐官は米誌で「ローブ氏に対抗できる側近が必要だ」と述べ、勢力均衡の崩壊に懸念を示した。	['29']
A052n_PN2e_00004-16	reltype=after	'示し'	[JSP]このため、辞任が決まると、カード首席補佐官は米誌で「ローブ氏に対抗できる側近が必要だ」と述べ、勢力均衡の崩壊に懸念を示した。	['38']
A052n_PN2e_00004-17	reltype=after	'見当たら'	だが「彼女の穴を埋める存在は見当たらない」（ＵＳＡトゥデー紙）のが実情で、ローブ氏の権勢が高まるのは確実だ。	['11']
A052n_PN2e_00004-17	reltype=before	'高まる'	だが「彼女の穴を埋める存在は見当たらない」（ＵＳＡトゥデー紙）のが実情で、ローブ氏の権勢が高まるのは確実だ。	['29']
A052n_PN2e_00004-20	reltype=after	'反する'	三月の鉄鋼セーフガード措置（緊急輸入制限）発動という「自由貿易」の政権看板に反する保護主義政策も、民主党寄りの労組票獲得のために決断を促したとされる。	['23']
A052n_PN2e_00004-20	reltype=after	'促し'	三月の鉄鋼セーフガード措置（緊急輸入制限）発動という「自由貿易」の政権看板に反する保護主義政策も、民主党寄りの労組票獲得のために決断を促したとされる。	['41']
A052n_PN2e_00004-20	reltype=after	'さ'	三月の鉄鋼セーフガード措置（緊急輸入制限）発動という「自由貿易」の政権看板に反する保護主義政策も、民主党寄りの労組票獲得のために決断を促したとされる。	['44']
A052n_PN2e_00004-21	reltype=after	'し'	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['27']
A052n_PN2e_00004-21	reltype=before	'掲げ'	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['37']
A052n_PN2e_00004-21	reltype=before	'戦う'	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['39']
A052n_PN2e_00004-21	reltype=after	'飛ばし'	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['46']
A052n_PN2e_00004-21	reltype=after	'発覚'	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['51']
A052n_PN2e_00004-22	reltype=before	'利用'	民主からは「外交問題を再選戦略に利用する危険がある」との警戒感も強まっている。	['11']
A052n_PN2e_00004-22	reltype=overlap	'強まっ'	民主からは「外交問題を再選戦略に利用する危険がある」との警戒感も強まっている。	['22']
A052n_PN2e_00004-25	reltype=overlap	'要求'	[JSP]パレスチナ自治政府のアラファト議長は十二日、ＡＰ通信などとのインタビューで、米国やイスラエルが要求している退陣に、現時点で応じる考えがないことを明らかにした。	['25']
A052n_PN2e_00004-25	reltype=after	'応じる'	[JSP]パレスチナ自治政府のアラファト議長は十二日、ＡＰ通信などとのインタビューで、米国やイスラエルが要求している退陣に、現時点で応じる考えがないことを明らかにした。	['35']
A052n_PN2e_00004-25	reltype=after	'ない'	[JSP]パレスチナ自治政府のアラファト議長は十二日、ＡＰ通信などとのインタビューで、米国やイスラエルが要求している退陣に、現時点で応じる考えがないことを明らかにした。	['38']
A052n_PN2e_00004-25	reltype=after	'し'	[JSP]パレスチナ自治政府のアラファト議長は十二日、ＡＰ通信などとのインタビューで、米国やイスラエルが要求している退陣に、現時点で応じる考えがないことを明らかにした。	['26']
A052n_PN2e_00004-26	reltype=before	'出馬'	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['19']
A052n_PN2e_00004-26	reltype=after	'決め'	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['32']
