A007n_PN3g_00001-3	reltype=overlap	['九', '日', 'さ', '実施']	[JSP]最高裁裁判官の国民審査が九日、衆院選投票と同時に実施される。	['10', '11', '19', '20']
A007n_PN3g_00001-12	reltype=after	['０', '月', '判事', '経']	東京高裁長官を経て０２年１１月最高裁判事。	['5', '7', '12', '15']
A007n_PN3g_00001-21	reltype=overlap	['０', '月', 'し', '判断']	[JSP]婚外子の遺産相続分を嫡出子の半分とする民法の規定を合憲と判断した判決（第一小法廷、０３年３月）で反対意見。	['21', '22', '31', '35']
A007n_PN3g_00001-22	reltype=overlap	['０', '月', 'し']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['16', '20', '24']
A007n_PN3g_00001-22	reltype=overlap	['０', '月', '意見', 'ない', 'こと', 'する', '評価']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['20', '24', '25', '36', '37', '38', '41']
A007n_PN3g_00001-26	reltype=after	['０', '月', '判事', '経']	広島、大阪各高裁長官を経て０２年２月最高裁判事。	['8', '10', '14', '17']
A007n_PN3g_00001-36	reltype=vague	['０', '月', '認め', '差し止め', '魚', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '21', '25', '27', '31', '35']
A007n_PN3g_00001-36	reltype=overlap	['０', '月', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31', '35']
A007n_PN3g_00001-36	reltype=before	['０', '月', '月', 'し']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['31', '35', '54', '58']
A007n_PN3g_00001-36	reltype=vague	['０', '月', '月', '認め', '差し止め', '魚', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '21', '25', '27', '31', '35', '58']
A007n_PN3g_00001-36	reltype=after	['０', '月', '月', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31', '35', '58']
