A007n_PN3g_00001-3	reltype=overlap	['九', '実施']	[JSP]最高裁裁判官の国民審査が九日、衆院選投票と同時に実施される。	['10', '19']
A007n_PN3g_00001-12	reltype=after	['０', '経']	東京高裁長官を経て０２年１１月最高裁判事。	['5', '7']
A007n_PN3g_00001-21	reltype=overlap	['０', '判断']	[JSP]婚外子の遺産相続分を嫡出子の半分とする民法の規定を合憲と判断した判決（第一小法廷、０３年３月）で反対意見。	['21', '31']
A007n_PN3g_00001-22	reltype=overlap	['０', 'し']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['16', '20']
A007n_PN3g_00001-22	reltype=overlap	['０', '評価']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['20', '24']
A007n_PN3g_00001-26	reltype=after	['０', '経']	広島、大阪各高裁長官を経て０２年２月最高裁判事。	['8', '10']
A007n_PN3g_00001-36	reltype=vague	['０', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '31']
A007n_PN3g_00001-36	reltype=overlap	['０', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31']
A007n_PN3g_00001-36	reltype=before	['０', 'し']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['31', '54']
A007n_PN3g_00001-36	reltype=vague	['０', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '31']
A007n_PN3g_00001-36	reltype=after	['０', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31']
A007n_PN3g_00001-40	reltype=after	['０', '経']	東京高検検事長を経て０２年１０月最高裁判事。	['6', '8']
A007n_PN3g_00001-49	reltype=after	['０', '締結']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['4', '25']
A007n_PN3g_00001-49	reltype=overlap	['０', '否定']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['20', '25']
A007n_PN3g_00001-49	reltype=overlap	['０', 'し']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['21', '25']
A007n_PN3g_00001-53	reltype=after	['０', '経']	仙台、大阪各高裁長官を経て０２年１１月最高裁判事。	['8', '10']
A007n_PN3g_00001-63	reltype=overlap	['０', 'し']	併合罪の解釈が争われた新潟の女性監禁事件で懲役１４年とした判決（０３年７月）に関与。	['20', '24']
A007n_PN3g_00001-76	reltype=vague	['０', '及ぶ']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=before	['０', '是認']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=before	['０', 'でき']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=vague	['０', '及ぶ']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=overlap	['０', '是認']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-76	reltype=overlap	['０', 'でき']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3']
A007n_PN3g_00001-77	reltype=overlap	['０', '反し']	大嘗祭を「政教分離に反しない」と判断した判決（０２年７月）で裁判長。	['8', '17']
A007n_PN3g_00001-77	reltype=overlap	['０', '判断']	大嘗祭を「政教分離に反しない」と判断した判決（０２年７月）で裁判長。	['12', '17']
A007n_PN3g_00001-81	reltype=after	['０', '経']	大阪弁護士会会長を経て０２年６月最高裁判事。	['7', '9']
A007n_PN3g_00001-89	reltype=overlap	['０', 'し']	ロプロ（旧日栄）の融資で「利息制限法を逸脱」とした判決（０３年７月）、早大の警視庁への講演会参加者名簿提供を「プライバシー侵害で違法」と判断した判決（０３年９月）で裁判長。	['17', '21']
